Quarter,Type,الربع السنوي,Description,الوصف,Year,Value,Title,العنوان,Quarter_Number,النوع,sort_id
Third Quarter,Units,Third Quarter,Value,قيمة,2023,1593873100,Other,أخرى,3,وحده,161
Third Quarter,Units,Third Quarter,Number,عدد,2023,1030,Other,أخرى,3,وحده,162
Third Quarter,Building,Third Quarter,Value,قيمة,2023,945056868,Other,أخرى,3,مبنى,163
Third Quarter,Building,Third Quarter,Number,عدد,2023,53,Other,أخرى,3,مبنى,164
Third Quarter,Land,Third Quarter,Value,قيمة,2023,3881158918,Other,أخرى,3,أرض,165
Third Quarter,Land,Third Quarter,Number,عدد,2023,413,Other,أخرى,3,أرض,166
Third Quarter,Villa,Third Quarter,Value,قيمة,2023,1241936924,Other,أخرى,3,فيلا,167
Third Quarter,Villa,Third Quarter,Number,عدد,2023,195,Other,أخرى,3,فيلا,168
Fourth Quarter,Units,Fourth Quarter,Value,قيمة,2023,52999104429,Sales,المبايعات,4,وحده,169
Fourth Quarter,Units,Fourth Quarter,Number,عدد,2023,27040,Sales,المبايعات,4,وحده,170
Fourth Quarter,Building,Fourth Quarter,Value,قيمة,2023,5859559211,Sales,المبايعات,4,مبنى,171
Fourth Quarter,Building,Fourth Quarter,Number,عدد,2023,117,Sales,المبايعات,4,مبنى,172
Fourth Quarter,Land,Fourth Quarter,Value,قيمة,2023,46754187225,Sales,المبايعات,4,أرض,173
Fourth Quarter,Land,Fourth Quarter,Number,عدد,2023,4107,Sales,المبايعات,4,أرض,174
Fourth Quarter,Villa,Fourth Quarter,Value,قيمة,2023,17006652264,Sales,المبايعات,4,فيلا,175
Fourth Quarter,Villa,Fourth Quarter,Number,عدد,2023,4119,Sales,المبايعات,4,فيلا,176
Fourth Quarter,Units,Fourth Quarter,Value,قيمة,2023,5385663300,Mortgages,الرهون,4,وحده,177
Fourth Quarter,Units,Fourth Quarter,Number,عدد,2023,4105,Mortgages,الرهون,4,وحده,178
Fourth Quarter,Building,Fourth Quarter,Value,قيمة,2023,8251160907,Mortgages,الرهون,4,مبنى,179
Fourth Quarter,Building,Fourth Quarter,Number,عدد,2023,108,Mortgages,الرهون,4,مبنى,180
Fourth Quarter,Land,Fourth Quarter,Value,قيمة,2023,38754552954,Mortgages,الرهون,4,أرض,181
Fourth Quarter,Land,Fourth Quarter,Number,عدد,2023,1076,Mortgages,الرهون,4,أرض,182
Fourth Quarter,Villa,Fourth Quarter,Value,قيمة,2023,6562117806,Mortgages,الرهون,4,فيلا,183
Fourth Quarter,Villa,Fourth Quarter,Number,عدد,2023,2245,Mortgages,الرهون,4,فيلا,184
Fourth Quarter,Units,Fourth Quarter,Value,قيمة,2023,3845214472,Other,أخرى,4,وحده,185
Fourth Quarter,Units,Fourth Quarter,Number,عدد,2023,1472,Other,أخرى,4,وحده,186
Fourth Quarter,Building,Fourth Quarter,Value,قيمة,2023,1973144899,Other,أخرى,4,مبنى,187
Fourth Quarter,Building,Fourth Quarter,Number,عدد,2023,54,Other,أخرى,4,مبنى,188
Fourth Quarter,Land,Fourth Quarter,Value,قيمة,2023,3378274611,Other,أخرى,4,أرض,189
Fourth Quarter,Land,Fourth Quarter,Number,عدد,2023,166,Other,أخرى,4,أرض,190
Fourth Quarter,Villa,Fourth Quarter,Value,قيمة,2023,1804673270,Other,أخرى,4,فيلا,191
Fourth Quarter,Villa,Fourth Quarter,Number,عدد,2023,337,Other,أخرى,4,فيلا,192
First Quarter,Units,First Quarter,Value,قيمة,2022,24912212884,Sales,المبايعات,1,وحده,193
First Quarter,Units,First Quarter,Number,عدد,2022,14063,Sales,المبايعات,1,وحده,194
First Quarter,Building,First Quarter,Value,قيمة,2022,2857698263,Sales,المبايعات,1,مبنى,195
First Quarter,Building,First Quarter,Number,عدد,2022,74,Sales,المبايعات,1,مبنى,196
First Quarter,Land,First Quarter,Value,قيمة,2022,17795202886,Sales,المبايعات,1,أرض,197
First Quarter,Land,First Quarter,Number,عدد,2022,3268,Sales,المبايعات,1,أرض,198
First Quarter,Villa,First Quarter,Value,قيمة,2022,9942782098,Sales,المبايعات,1,فيلا,199
First Quarter,Villa,First Quarter,Number,عدد,2022,3132,Sales,المبايعات,1,فيلا,200
First Quarter,Units,First Quarter,Value,قيمة,2022,2476694347,Mortgages,الرهون,1,وحده,201
First Quarter,Units,First Quarter,Number,عدد,2022,2397,Mortgages,الرهون,1,وحده,202
First Quarter,Building,First Quarter,Value,قيمة,2022,7203619210,Mortgages,الرهون,1,مبنى,203
First Quarter,Building,First Quarter,Number,عدد,2022,139,Mortgages,الرهون,1,مبنى,204
First Quarter,Land,First Quarter,Value,قيمة,2022,12173317595,Mortgages,الرهون,1,أرض,205
First Quarter,Land,First Quarter,Number,عدد,2022,788,Mortgages,الرهون,1,أرض,206
First Quarter,Villa,First Quarter,Value,قيمة,2022,4061285810,Mortgages,الرهون,1,فيلا,207
First Quarter,Villa,First Quarter,Number,عدد,2022,1504,Mortgages,الرهون,1,فيلا,208
First Quarter,Units,First Quarter,Value,قيمة,2022,941400355,Other,أخرى,1,وحده,209
